"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 13 08:51:07 GMT 2023","Thu Apr 13 08:51:13 GMT 2023","6929","Test","test_cases","TestConduit","","","test_registration",""
"passed","Thu Apr 13 08:51:38 GMT 2023","Thu Apr 13 08:51:44 GMT 2023","6936","Test","test_cases","TestConduit","","","test_new_article",""
"passed","Thu Apr 13 08:52:24 GMT 2023","Thu Apr 13 08:52:28 GMT 2023","3401","Test","test_cases","TestConduit","","","test_logout",""
"passed","Thu Apr 13 08:52:01 GMT 2023","Thu Apr 13 08:52:08 GMT 2023","7061","Test","test_cases","TestConduit","","","test_modification_of_existing_username",""
"passed","Thu Apr 13 08:51:15 GMT 2023","Thu Apr 13 08:51:18 GMT 2023","3405","Test","test_cases","TestConduit","","","test_login",""
"passed","Thu Apr 13 08:51:31 GMT 2023","Thu Apr 13 08:51:36 GMT 2023","5407","Test","test_cases","TestConduit","","","test_all_pages",""
"passed","Thu Apr 13 08:52:19 GMT 2023","Thu Apr 13 08:52:23 GMT 2023","3560","Test","test_cases","TestConduit","","","test_save_data_to_csv",""
"passed","Thu Apr 13 08:51:19 GMT 2023","Thu Apr 13 08:51:29 GMT 2023","9931","Test","test_cases","TestConduit","","","test_data_list",""
"passed","Thu Apr 13 08:52:09 GMT 2023","Thu Apr 13 08:52:18 GMT 2023","9124","Test","test_cases","TestConduit","","","test_delete_data",""
"passed","Thu Apr 13 08:51:02 GMT 2023","Thu Apr 13 08:51:05 GMT 2023","3042","Test","test_cases","TestConduit","","","test_cookies",""
"passed","Thu Apr 13 08:51:46 GMT 2023","Thu Apr 13 08:51:59 GMT 2023","13525","Test","test_cases","TestConduit","","","test_import_datas_from_csv",""
